"","the_geom.type","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"1790","Point","2","Bronx","206","15","78","34","15","1205.0","934.0","BID","backed",2012-10-24,"402 East Fordham Road","2520 Webster Avenue","Webster Avenue","East 189th Street and East Fordham Road","Bronx","206.0","Not Applicable","Fordham Road","40.861629","-73.891265","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1791","Point","2","Bronx","205","14","86","33","15","3520.0","54.0","Municipal Facilities","backed 2",2017-07-03,"2424 Jerome Avenue","2424 Jerome Avenue","Jerome Avenue","Frodham Road & W. 184th Street","Bronx","205.0","Not Applicable","Not Applicable","40.86185","-73.90176","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1792","Point","2","Bronx","205","15","78","33","15","1199.0","258.0","BID","backed",2012-10-22,"350 East Fordham Road","350 East Fordham Road","East Fordham Road","Elm Place and Marion Avenues","Bronx","205.0","Not Applicable","Fordham Road","40.861856","-73.893101","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1793","Point","2","Bronx","211","13","80","34","14","3875.0","257.0","Senior Safety","backed",2017-08-23,"2452 Eastchester Road","2452 Eastchester Road","Eastchester Road","Mace Avenue & Warring Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.861873","-73.843312","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1794","Point","2","Bronx","205","15","78","33","15","1208.0","1895.0","BID","backed 2",2012-10-24,"335-339 East Fordham Road","339 East Fordham Road","East Fordham Road","Marion and Bainbridge Avenues","Bronx","207.0","Not Applicable","Fordham Road","40.861903","-73.893336","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1795","Point","2","Bronx","205","15","78","33","15","1209.0","645.0","BID","backless",2012-10-16,"331 East Fordham Road","331 E Fordham Road","Bainbridge Avenue","Bainbridge Avenue and East Kingsbridge Road","Bronx","207.0","BX22","Fordham Road","40.861914","-73.893416","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1796","Point","1","Manhattan","112","10","72","31","13","3112.0","3112.0","General","backed",2015-09-12,"431 West 204th Street","3815 10th Avenue","10th Avenue","9th Avenue & 10th Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.86205","-73.919102","X","AREA OF MINIMAL FLOOD HAZARD","4"
"1797","Point","2","Bronx","205","14","86","33","15","1945.0","559.0","BID","backed",2013-05-07,"114 East Fordham Road","114 East Fordham Road","East Fordham Rd & 188th Street","E. Fordham Road & 188th Street","Bronx","205.0","Not Applicable","Fordham Road","40.862235","-73.898722","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1798","Point","2","Bronx","205","14","86","33","15","1945.0","1047.0","BID","backed",2013-05-07,"114 East Fordham Road","114 East Fordham Road","East Fordham Rd & 188th Street","E. Fordham Road & 188th Street","Bronx","205.0","Not Applicable","Fordham Road","40.862235","-73.898722","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1799","Point","2","Bronx","205","14","86","33","15","1945.0","539.0","BID","backed",2013-05-07,"114 East Fordham Road","114 East Fordham Road","East Fordham Rd & 188th Street","E. Fordham Road & 188th Street","Bronx","205.0","Not Applicable","Fordham Road","40.862235","-73.898722","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1800","Point","2","Bronx","207","14","86","33","15","1193.0","558.0","BID","backed",2013-05-07,"125 East Fordham Road","125 East Fordham Road","East Fordham Road","Creston Avenue & Morris Avenue","Bronx","207.0","Not Applicable","Fordham Road","40.862265","-73.898654","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1801","Point","1","Manhattan","112","10","72","31","13","2983.0","1798.0","Municipal Facilities","backless",2015-01-15,"4650 Broadway","4650 Broadway","Broadway","Dongan Place & Sherman Avenue","Manhattan","112.0","M100","Not Applicable","40.862326","-73.929553","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1802","Point","2","Bronx","205","15","78","33","15","1195.0","256.0","BID","backed",2012-10-22,"204 East Fordham Road","204 East Fordham Road","East Fordham Road","Grand Concourse and Valentine Avenue","Bronx","205.0","Not Applicable","Fordham Road","40.862398","-73.896719","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1803","Point","2","Bronx","211","13","80","34","14","3573.0","107.0","Municipal Facilities","backed 2",2017-05-26,"830 Mace Avenue","830 Mace Avenue","Mace Avenue","Bronxwood Avenue & Matthews Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.863117","-73.862445","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1804","Point","2","Bronx","207","14","78","33","13","2093.0","739.0","Community Health Centers","backed",2013-08-06,"105 Father Zeiser Place","105 Father Zeiser Place","Father Zeiser Place","University and Webb Avenues","Bronx","207.0","Not Applicable","Not Applicable","40.864259","-73.904301","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1805","Point","2","Bronx","211","13","80","34","14","2924.0","1598.0","General","backed",2015-01-06,"2550 Boston Road","2550 Boston Road","Boston Road","Wallace Avenue and Barnes Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.864403","-73.863878","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1806","Point","2","Bronx","211","13","80","34","14","3128.0","441.0","General","backed",2015-01-06,"2550 Boston Road","2550 Boston Road","Boston Road","Wallace Avenue & Barnes Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.864403","-73.863878","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1807","Point","1","Manhattan","112","10","71","31","13","3088.0","1473.0","General","backed",2015-09-12,"4712 Broadway","4712 Broadway","Broadway","Arden Street & Dongan Place","Manhattan","112.0","Not Applicable","Not Applicable","40.864409","-73.929197","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1808","Point","2","Bronx","210","12","82","36","16","3593.0","6.0","Municipal Facilities","backed 2",2017-05-26,"4140 Hutchinson River Pkwy E","4140 Hutchinson River Pkwy E","Einstein Loop S","Einstein Loop S & Boller Avenue","Bronx","210.0","Not Applicable","Not Applicable","40.864676","-73.824303","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"1809","Point","2","Bronx","211","15","80","34","14","3876.0","262.0","AAR","backed",2017-08-23,"612 Allerton Avenue","2526 Bronx Park East","Bronx Park East","Bronx Park East & Barker Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.865365","-73.87","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1810","Point","1","Manhattan","112","10","72","31","13","2560.0","813.0","Municipal Facilities","backed",2014-06-30,"630 Academy Street","4790 Broadway","Broadway","Cumming Street & Dyckman Street","Manhattan","112.0","Not Applicable","Not Applicable","40.8656","-73.924546","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"1811","Point","1","Manhattan","112","10","72","31","13","3139.0","1472.0","General","backed",2015-09-12,"4781 Broadway","4781 Broadway","Broadway","Dyckman Street & Cumming Street","Manhattan","112.0","Not Applicable","Not Applicable","40.865881","-73.926314","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1812","Point","1","Manhattan","112","10","72","31","13","2373.0","956.0","General","backed",2014-04-18,"233 Dyckman Street","233 Dyckman Street","Dyckman Street","Broadway & Seaman Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.865967","-73.927767","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1813","Point","1","Manhattan","112","10","72","31","13","2371.0","1516.0","General","backed",2014-04-18,"4799 Broadway","4799 Broadway","Broadway","Academy & Cumming Street","Manhattan","112.0","M100","Not Applicable","40.866139","-73.925583","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1814","Point","2","Bronx","211","13","80","36","14","2524.0","1343.0","Municipal Facilities","backed",2014-06-24,"2740 Barnes Avenue","2740 Barnes Avenue","Barnes Avenue","Allerton Avenue and Arnow Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.866184","-73.863487","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1815","Point","1","Manhattan","112","10","71","31","13","1944.0","677.0","General","backed",2013-07-29,"250 Dyckman Street","250 Dyckman Street","Dyckman Street","Seaman Avenue & Payson Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.866415","-73.928338","X","AREA OF MINIMAL FLOOD HAZARD","5"
"1816","Point","1","Manhattan","112","10","71","31","13","1944.0","665.0","General","backed",2013-07-29,"250 Dyckman Street","250 Dyckman Street","Dyckman Street","Seaman Avenue & Payson Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.866415","-73.928338","X","AREA OF MINIMAL FLOOD HAZARD","5"
"1817","Point","1","Manhattan","112","10","72","31","13","2721.0","1835.0","General","backed",2014-12-04,"251 Dyckman Street","251 Dyckman Street","Dyckman Street","Payson Avenue & Seaman Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.866434","-73.928334","X","AREA OF MINIMAL FLOOD HAZARD","5"
